Unique_ID,Body_Text,Has_Bespoke
AZS-001,"Well Spotted: During your turn, whenever a card is put into your inkwell, chosen opposing character gets -1 {s} until the start of your next turn.",1
AZS-002,"NO PLACE I'D RATHER BE - At the start of your turn, if this card is in your discard, you may play her and she enters play exerted.",1
AZS-003,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)
We're Pirates, You See: Whenever this character quests, you may pay 1 {i} less for the next Pirate character you play this turn.",1
AZS-004,NA,0
AZS-005,NA,0
AZS-006,"DALE'S PARTNER - When you play this character, chosen character gets +1 {l} this turn.",1
AZS-007,CHIP'S PARTNER - This character enters play exerted unless you have a character named Chip in play.,1
AZS-008,"SHOWING OFF - While you have a character named Nani in play, this character gets +2 {l}.",1
AZS-009,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Prince Naveen.)
Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)",0
AZS-010,NA,0
AZS-011,"YOU LIKE GAZELLE TOO? - While you have a character named Gazelle in play, this character gains Singer 6. (This character counts as cost 6 to sing songs.)",1
AZS-012,"THE VALUE OF FRIENDSHIP - While you have a character named Dale in play, this character gains Support. (Whenever they quest, you may add their {s} to another chosen character's {s} this turn.)",1
AZS-013,NA,0
AZS-014,"Shift 5 (You may pay 5 {i} to play this on topo of one of your characters named Chip or Dale.)
(This character counts as being named both Chip and Dale.)
Search and Rescue: During your turn, whenever a card is put into your inkwell, you may return a character from your discard to your hand.",1
AZS-015,"Support (Whenever this character quests, you may add thier {s} to another chosen character's {s} this turn.)
Need Some Help?: At the end of your turn, you may ready another chosen character of yours.",1
AZS-016,"SPECIAL RESERVATION - Whenever a character of yours is challenged while this character is exerted, the challenging character gets -3 {s} this turn unless their player pays 3 {i}.",1
AZS-017,"FIND IT! - Whenever this character quests, your other Alien characters get +1 {l} this turn.",1
AZS-018,"NUTS ABOUT PRANKS - When you play this character, you may put the top 3 cards of your deck into your discard to give chosen character -3 {s} until the start of your next turn.",1
AZS-019,"Support (Whenever this character quests, you may add their {s} to another chosen character’s {s} this turn.)
I Am So Sorry: 2 {i} - Chosen character gets -1 {s} until the start of your next turn.",1
AZS-020,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Simba.)
Understand The Balance: At the end of your turn, if this character is exerted, you may ready your other characters.",1
AZS-021,"SAFE AND SOUND - Whenever this character quests, another chosen character of yours can't be challenged until the start of your next turn.",1
AZS-022,"BE MORE CAREFUL - When you play this character, you may remove up to 1 damage from chosen character.",1
AZS-023,"I'M A PIRATE TOO! - When you play this character, you may give chosen character -2 {s} until the start of your next turn.",1
AZS-024,"THE GANG'S ALL HERE - Once during your turn, whenever you play another character, you may ready this character. He can't quest or challenge for the rest of this turn.",1
AZS-025,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
Hire a Crew: When you play this character, look at the top 4 cards of your deck. You may reveal any number of Pirate character cards and put them into your hand. Put the rest on the bottom of your deck in any order.",1
AZS-026,NEED A HAND? - This character gets +1 {s} this turn.,1
AZS-036,"SOUL COLLECTOR - During an opponent's turn, whenever one of your other characters is banished, gain 2 lore.",1
AZS-037,"Challenger +1 (While challenging, this character gets +1 {s}.)
Zim Zabberim Bim: Your other characters gain Challenger +1.",1
AZS-038,NA,0
AZS-039,"Challenger +2 (While challenging, this character gets +2 {s}.)",0
AZS-040,"A WEALTH OF HAPPINESS - When you play this character, gain 1 lore.",1
AZS-041,"BEES' KNEES - When you play this character, move 1 damage counter from chosen character to chosen opposing character.",1
AZS-042,NA,0
AZS-043,Evasive (Only characters with Evasive can challenge this character.),0
AZS-044,"I'LL GET YOU! - When this character is banished, you may exert chosen character.",1
AZS-045,"GUESS WHO - When this character is banished in a challenge, return this card to your hand.",1
AZS-046,NA,0
AZS-047,"Rush (This character can challenge the turn they’re played.)
Challenger +3 (While challenging, this character gets +3 {s}.)",0
AZS-048,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named Tinker Bell.)
Evasive (Only characters with Evasive can challenge this character.)
Shining Example: Whenever this character quests, your other Fairy characters get +1 {l} this turn.",1
AZS-049,"FLY, MY PET! - When this character is banished, you may draw a card.",1
AZS-050,Rush (This character can challenge the turn they're played.),0
AZS-051,NA,0
AZS-052,"Shift 7 (You may pay 7 {i} to play this on top of one of your characters named Rafiki.)
Astral Attunement: During your turn, whenever a card is put into your inkwell, you may draw a card.",1
AZS-053,"Evasive (Only characters with Evasive can challenge this character.)
What Comes Next?: When you play this character, draw a card.",1
AZS-054,"TRUST BUILDS TRUST - Whenever this character quests, reveal the top card of your deck. If it's a Dragon character card, put it into your hand and repeat this effect. Otherwise, put it on either the top or the bottom of your deck.",1
AZS-055,"OH, BAT GIZZARDS - Gain 1 lore.",1
AZS-056,"FEEL THE POWER - If you have fewer than 3 cards in your hand, draw until you have 3 cards in your hand.",1
AZS-057,"I'VE GOT TO DO EVERYTHING AROUND HERE - Whenever you play a song, you may move up to 2 damage counters from chosen character to chosen opposing character.",1
AZS-058,"GOTCHA! - During your turn, whenever a card is put into your inkwell, exert chosen opposing character.",1
AZS-059,"WE'LL HAVE TO LOOK INTO THIS - Whenever this character quests, you may look at the top card of chosen player's deck. Put it on top of their deck or into their discard.",1
AZS-061,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named Genie.)
Your Reward Awaits: Whenever you play a card, draw a card.
Forbidden Treasure: At the end of your turn, put all the cards in your hand on the bottom of your deck in any order.",1
AZS-070,"BY ORDER OF THE PRINCESS - When you play this character, choose one: • Exert chosen damaged character. • Chosen opposing character gains Reckless during their next turn. (They can't quest and must challenge if able.)",1
AZS-071,"INSPIRES DREAD - While this character is exerted, opposing Pirate characters can't quest.",1
AZS-072,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Stitch.)
Ready For Action: When you play this character, if you used Shift to play him, you may put an action card from your discard on the top of your deck.",1
AZS-073,"Evasive (Only characters with Evasive can challenge this character.)
Stop Whining, Women Up: When you play this character, you may pay 2 {i} to gain lore equal to the damage on chosen opposing character.",1
AZS-074,"Here's The Best Part - When you play this character, you may pay 2 {i} to have each opponent choose and discard a card.",1
AZS-075,"HOW COOL IS THAT - Whenever this character is challenged, gain 2 lore.",1
AZS-076,NA,0
AZS-077,NA,0
AZS-078,Ward (Opponents can’t choose this character except to challenge.),0
AZS-079,Evasive (Only characters with Evasive can challenge this character.),0
AZS-080,"CAPTAIN ON DECK - While you have a Captain character in play, this character gets +2 {l}.",1
AZS-081,"DISTANT SHORES - Whenever one of your Pirate characters quests while at a location, draw a card.",1
AZS-082,NA,0
AZS-083,Ward (Opponents can’t choose this character except to challenge.),0
AZS-084,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named Jasmine.)
Ruler of the Seas: When you play this character, if you used Shift to play her, return all other exerted characters to their players’ hands.",1
AZS-085,"Look Innocent - This character enters play exerted.
Can't Take a Joke? - While this character is exerted, each opposing player can't gain lore unless one of their characters has challenged this turn.",1
AZS-086,"Ward (Opponents can’t choose this character except to challenge.)
Strong Like His Dad: 3 {i} - Deal 1 damage to chosen damaged character.",1
AZS-087,"AN EYE FOR TECH - When you play this character, if an opponent has an item in play, gain 1 lore.",1
AZS-088,"YOU CAN REALLY MOVE - When you play this character, chosen character gains Evasive until the start of your next turn. (Only characters with Evasive can challenge them.)",1
AZS-089,"Ward (Opponents can't choose this character except to challenge.)
Clever Design: Whenever this character quests, chosen character gains Ward until the start of your next turn.",1
