Unique_ID,Body_Text
AZS-001,"Well Spotted: During your turn, whenever a card is put into your inkwell, chosen opposing character gets -1 {s} until the start of your next turn."
AZS-002,"NO PLACE I'D RATHER BE - At the start of your turn, if this card is in your discard, you may play her and she enters play exerted."
AZS-003,"Support (Whenever this character quests, you may add their {s} to another chosen character's {s} this turn.)
We're Pirates, You See: Whenever this character quests, you may pay 1 {i} less for the next Pirate character you play this turn."
AZS-004,NA
AZS-005,NA
AZS-006,"DALE'S PARTNER - When you play this character, chosen character gets +1 {l} this turn."
AZS-007,CHIP'S PARTNER - This character enters play exerted unless you have a character named Chip in play.
AZS-008,"SHOWING OFF - While you have a character named Nani in play, this character gets +2 {l}."
AZS-009,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Prince Naveen.)
Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)"
AZS-010,NA
AZS-011,"YOU LIKE GAZELLE TOO? - While you have a character named Gazelle in play, this character gains Singer 6. (This character counts as cost 6 to sing songs.)"
AZS-012,"THE VALUE OF FRIENDSHIP - While you have a character named Dale in play, this character gains Support. (Whenever they quest, you may add their {s} to another chosen character's {s} this turn.)"
AZS-013,NA
AZS-014,"Shift 5 (You may pay 5 {i} to play this on topo of one of your characters named Chip or Dale.)
(This character counts as being named both Chip and Dale.)
Search and Rescue: During your turn, whenever a card is put into your inkwell, you may return a character from your discard to your hand."
AZS-015,"Support (Whenever this character quests, you may add thier {s} to another chosen character's {s} this turn.)
Need Some Help?: At the end of your turn, you may ready another chosen character of yours."
AZS-016,"SPECIAL RESERVATION - Whenever a character of yours is challenged while this character is exerted, the challenging character gets -3 {s} this turn unless their player pays 3 {i}."
AZS-017,"FIND IT! - Whenever this character quests, your other Alien characters get +1 {l} this turn."
AZS-018,"NUTS ABOUT PRANKS - When you play this character, you may put the top 3 cards of your deck into your discard to give chosen character -3 {s} until the start of your next turn."
AZS-019,"Support (Whenever this character quests, you may add their {s} to another chosen character’s {s} this turn.)
I Am So Sorry: 2 {i} - Chosen character gets -1 {s} until the start of your next turn."
AZS-020,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Simba.)
Understand The Balance: At the end of your turn, if this character is exerted, you may ready your other characters."
AZS-021,"SAFE AND SOUND - Whenever this character quests, another chosen character of yours can't be challenged until the start of your next turn."
AZS-022,"BE MORE CAREFUL - When you play this character, you may remove up to 1 damage from chosen character."
AZS-023,"I'M A PIRATE TOO! - When you play this character, you may give chosen character -2 {s} until the start of your next turn."
AZS-024,"THE GANG'S ALL HERE - Once during your turn, whenever you play another character, you may ready this character. He can't quest or challenge for the rest of this turn."
AZS-025,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
Hire a Crew: When you play this character, look at the top 4 cards of your deck. You may reveal any number of Pirate character cards and put them into your hand. Put the rest on the bottom of your deck in any order."
AZS-026,NEED A HAND? - This character gets +1 {s} this turn.
AZS-036,"SOUL COLLECTOR - During an opponent's turn, whenever one of your other characters is banished, gain 2 lore."
AZS-037,"Challenger +1 (While challenging, this character gets +1 {s}.)
Zim Zabberim Bim: Your other characters gain Challenger +1."
AZS-038,NA
AZS-039,"Challenger +2 (While challenging, this character gets +2 {s}.)"
AZS-040,"A WEALTH OF HAPPINESS - When you play this character, gain 1 lore."
AZS-041,"BEES' KNEES - When you play this character, move 1 damage counter from chosen character to chosen opposing character."
AZS-042,NA
AZS-043,Evasive (Only characters with Evasive can challenge this character.)
AZS-044,"I'LL GET YOU! - When this character is banished, you may exert chosen character."
AZS-045,"GUESS WHO - When this character is banished in a challenge, return this card to your hand."
AZS-046,NA
AZS-047,"Rush (This character can challenge the turn they’re played.)
Challenger +3 (While challenging, this character gets +3 {s}.)"
AZS-048,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named Tinker Bell.)
Evasive (Only characters with Evasive can challenge this character.)
Shining Example: Whenever this character quests, your other Fairy characters get +1 {l} this turn."
AZS-049,"FLY, MY PET! - When this character is banished, you may draw a card."
AZS-050,Rush (This character can challenge the turn they're played.)
AZS-051,NA
AZS-052,"Shift 7 (You may pay 7 {i} to play this on top of one of your characters named Rafiki.)
Astral Attunement: During your turn, whenever a card is put into your inkwell, you may draw a card."
AZS-053,"Evasive (Only characters with Evasive can challenge this character.)
What Comes Next?: When you play this character, draw a card."
AZS-054,"TRUST BUILDS TRUST - Whenever this character quests, reveal the top card of your deck. If it's a Dragon character card, put it into your hand and repeat this effect. Otherwise, put it on either the top or the bottom of your deck."
AZS-055,"OH, BAT GIZZARDS - Gain 1 lore."
AZS-056,"FEEL THE POWER - If you have fewer than 3 cards in your hand, draw until you have 3 cards in your hand."
AZS-057,"I'VE GOT TO DO EVERYTHING AROUND HERE - Whenever you play a song, you may move up to 2 damage counters from chosen character to chosen opposing character."
AZS-058,"GOTCHA! - During your turn, whenever a card is put into your inkwell, exert chosen opposing character."
AZS-059,"WE'LL HAVE TO LOOK INTO THIS - Whenever this character quests, you may look at the top card of chosen player's deck. Put it on top of their deck or into their discard."
AZS-061,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named Genie.)
Your Reward Awaits: Whenever you play a card, draw a card.
Forbidden Treasure: At the end of your turn, put all the cards in your hand on the bottom of your deck in any order."
AZS-070,"BY ORDER OF THE PRINCESS - When you play this character, choose one: • Exert chosen damaged character. • Chosen opposing character gains Reckless during their next turn. (They can't quest and must challenge if able.)"
AZS-071,"INSPIRES DREAD - While this character is exerted, opposing Pirate characters can't quest."
AZS-072,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Stitch.)
Ready For Action: When you play this character, if you used Shift to play him, you may put an action card from your discard on the top of your deck."
AZS-073,"Evasive (Only characters with Evasive can challenge this character.)
Stop Whining, Women Up: When you play this character, you may pay 2 {i} to gain lore equal to the damage on chosen opposing character."
AZS-074,"Here's The Best Part - When you play this character, you may pay 2 {i} to have each opponent choose and discard a card."
AZS-075,"HOW COOL IS THAT - Whenever this character is challenged, gain 2 lore."
AZS-076,NA
AZS-077,NA
AZS-078,Ward (Opponents can’t choose this character except to challenge.)
AZS-079,Evasive (Only characters with Evasive can challenge this character.)
AZS-080,"CAPTAIN ON DECK - While you have a Captain character in play, this character gets +2 {l}."
AZS-081,"DISTANT SHORES - Whenever one of your Pirate characters quests while at a location, draw a card."
AZS-082,NA
AZS-083,Ward (Opponents can’t choose this character except to challenge.)
AZS-084,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named Jasmine.)
Ruler of the Seas: When you play this character, if you used Shift to play her, return all other exerted characters to their players’ hands."
AZS-085,"Look Innocent - This character enters play exerted.
Can't Take a Joke? - While this character is exerted, each opposing player can't gain lore unless one of their characters has challenged this turn."
AZS-086,"Ward (Opponents can’t choose this character except to challenge.)
Strong Like His Dad: 3 {i} - Deal 1 damage to chosen damaged character."
AZS-087,"AN EYE FOR TECH - When you play this character, if an opponent has an item in play, gain 1 lore."
AZS-088,"YOU CAN REALLY MOVE - When you play this character, chosen character gains Evasive until the start of your next turn. (Only characters with Evasive can challenge them.)"
AZS-089,"Ward (Opponents can't choose this character except to challenge.)
Clever Design: Whenever this character quests, chosen character gains Ward until the start of your next turn."
AZS-090,"FEAR ALWAYS WORKS - During your turn, whenever a card is put into your inkwell, chosen opposing character gains Reckless during their next turn. (They can't quest and must challenge if able.)"
AZS-091,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Basil.)
Twists and Turns: During your turn, whenever a card is put into your inkwell, you may pay 1 {i} to have chosen opponent choose and discard a card."
AZS-092,NA
AZS-103,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Mickey Mouse.)
Mariner's Might: Whenever this character quests, chosen Pirate character gets +2 {s} and gains “This character takes no damage from challenges” this turn."
AZS-104,Rush (This character can challenge the turn they’re played.)
AZS-105,"DIZZYING SPEED - When you play this character, chosen Pirate character gains Evasive until the start of your next turn. (Only characters with Evasive can challenge them.)"
AZS-106,"YOU'LL NEVER MISS IT - Whenever this character quests, each opponent loses 1 lore."
AZS-107,"COME ON, LET'S DO THIS - Once during your turn, whenever a card is put into your inkwell, you may ready another chosen character of yours. They can't quest for the rest of this turn."
AZS-108,"Evasive (Only characters with Evasive can challenge this character.)
Look Lively, Crew!: While you have another Pirate character in play, this character gets +1 {s} and +1 {l}."
AZS-109,"CHART YOUR OWN COURSE - Whenever this character quests, you may deal 1 damage to another chosen character of yours. If you do, ready that character. They can't quest for the rest of this turn."
AZS-110,"AS READY AS I'LL EVER BE - At the start of your turn, if this character is at a location, draw a card and gain 1 lore."
AZS-111,NA
AZS-112,NA
AZS-113,Evasive (Only characters with Evasive can challenge this character.)
AZS-114,Rush (This character can challenge the turn they're played.)
AZS-115,"SOLID GROUND - While this character is at a location, he gets +2 {s}."
AZS-116,"KEEP DRIVING - While this character has damage, she gets +1 {l}."
AZS-117,LEARNING THE ROPES - This character can't challenge unless you have a Captain character in play.
AZS-118,NA
AZS-119,"Shift 2 (You may pay 2 {i} to play this on top of one of your characters named Aladdin.)
Remember Your Training: When you play this character, your characters get +2 {s} this turn."
AZS-120,"LAND, HO! - Once during your turn, whenever a card is put into your inkwell, you may return a location card from your discard to your hand."
AZS-121,"Shift 5 (You may pay 5 {i} to play this on top of one of your characters named Moana.)
Gathering Forces: When you play this character, you may move any number of your characters to the same location for free. Gain 1 lore for each character you moved."
AZS-122,NA
AZS-123,"Rush (This character can challenge the turn they're played.)
Evasive (Only characters with Evasive can challenge this character.)"
AZS-124,"Evasive (Only characters with Evasive can challenge this character.)
CHEEEEHOOOO!: Whenever this character challenges another character, you may return an action card from your discard to your hand.
Wayfinding: Whenever you play an action, gain 1 lore."
AZS-125,WHAT ARE YOU GONNA DO? - Banish chosen character.
AZS-126,"Evasive (Only characters with Evasive can challenge this character.)
Swash Your Buckles: Whenever you play an action, this character gets +1 {s} and +1 {l} this turn."
AZS-127,"TEETH AND AMBITIONS - When you play this character, deal 2 damage to chosen character of yours to deal 2 damage to another chosen character."
AZS-137,"Support (Whenever this character quests, you may add their ※ to another chosen character’s ※ this turn.)"
AZS-138,"HAPPY TO HELP - Whenever this character quests, chosen Inventor character gets +1 {l} this turn."
AZS-139,"BRAINSTORM - Whenever you play an item, this character gets +1 {l} this turn."
AZS-140,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Gadget Hackwrench.)
Mechanically Savvy: While you have 3 or more items in play, you pay 1 {i} less to play Inventor characters."
AZS-141,"Ward (Opponents can’t choose this character except to challenge.)
Run Interference: During your turn, whenever a card is put into your inkwell, another chosen character gains Resist +1 until the start of your next turn. (Damage dealt to them is reduced by 1.)"
AZS-142,"FAVORABLE CHANCE - During your turn, whenever a card is put into your inkwell, you may reveal the top card of your deck. If it's an item card, you may play that item for free and it enters play exerted. Otherwise, put it on the bottom of your deck."
AZS-143,"TIME TO UPGRADE - Whenever this character quests, you may return one of your items to your hand to pay 2 {i} less for the next item you play this turn."
AZS-144,"REPORTING FOR DUTY - When you play this character, put chosen character of yours into your inkwell facedown and exerted."
AZS-145,SWEET TECH - Search your deck for an item card or a Robot character card and reveal it to all players. Shuffle your deck and put that card on top of it.
AZS-146,"EAT ANYTHING - When you play this character, exert chosen opposing item. It can't ready at the start of its next turn."
AZS-147,"UNPALATABLE - When you play this character, chosen opposing character gets -2 {s} this turn."
AZS-148,"NICE TO HAVE A PARTNER - While you have another character with Support in play, this character gets +2 {s}."
AZS-149,"BLADES OF FURY - When you play this character, you may banish chosen item. Its player gains 1 lore."
AZS-150,"Shift 1 (You may pay 1 {i} to play this on top of one of your characters named Nick Wilde.)
You Can't Touch Me: While you have an item in play, this character can't be challenged."
AZS-151,NA
AZS-152,NA
AZS-153,LET'S GET BACK TO WORK - This character gets +1 {s} and +1 ? for each item you have in play.
AZS-154,I NEED TO UPGRADE ALL OF YOU - Your other Inventor characters gain Resist +1. (Damage dealt to them is reduced by 1.)
AZS-155,"SOMEONE HAS TO HELP - During an opponent's turn, when this character is banished, you may put the top card of your deck into your inkwell facedown. Then, put this card into your inkwell facedown."
AZS-156,"Fully Charged - If you have an Inventor character in play, you may pay 1 {i} less to play this character
You Said 'Ow' - 2 {i}: Remove up to 1 damage from another chosen character."
AZS-157,"THE TREATMENT IS WORKING - When you play this character and whenever he quests, you may remove up to 2 damage from another chosen character of yours. Gain 1 lore for each 1 damage removed this way."
AZS-158,NA
AZS-159,NA
AZS-160,"Shift 6 (You may pay 6 {i} to play this on top of one of your characters named Yokai.)
NeuroTransmitter: You may play items named Microbots for free.
Technical Gain: Whenever this character quests, draw a card for each opposing character with 0 {s}."
AZS-161,"Ward (Opponents can’t choose this character except to challenge.) 
Ahoy!: Whenever this character quests, another chosen character of yours gets +1 {l} and gains Ward until the start of your next turn."
AZS-171,"A LITTLE HELP - When you play this character, if you have another Pirate character in play, you may deal 1 damage to chosen character or location."
AZS-172,"HEAD COCONUT - Whenever this character quests, you may draw a card, then choose and discard a card to deal 1 damage to chosen character or location. If you discarded a Pirate character card, deal 3 damage instead."
AZS-173,"COME ON, COME ON, COME ON! - During your turn, whenever a card is put into your inkwell, this character gains Challenger +2 this turn. (They get +2 {s} while challenging.)"
AZS-174,REPUTATION - This character can't be challenged by characters with 2 {s} or greater.
AZS-175,"GOOD CATCH - During your turn, this character gains Evasive. (They can challenge characters with Evasive.)"
AZS-176,"Shift 4 (You may pay 4 {i} to play this on top of one of your characters named Mr. Smee)
Raise the Colors: When you play this character, you may deal damage to chosen character equal to the number of your other Pirate characters in play."
AZS-177,"FALL IN LINE - While you have a character named Mr. Smee in play, this character gains Resist +1. (Damage dealt to them is reduced by 1.)"
AZS-178,NA
AZS-179,NA
AZS-180,"Challenger+2 (While challenging, this character gets +2 {s}.)"
AZS-181,"HUNK OF HARDWARE - When you play this character, chosen character can't challenge during their next turn."
AZS-182,Resist +1 (Damage dealt to this character is reduced by 1.)
AZS-183,"Shift 3 (You may pay 3 {i} to play this on top of one of your characters named Jim Hawkins.)
Battle Stations: When you play this character, you may deal 1 damage to chosen character or location."
AZS-184,NA
AZS-185,"KEEP IT HIDDEN - When this character is banished, you may banish chosen item or location."
AZS-186,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
Good Boy: While this character has no damage, he gets +4 {s}."
AZS-187,BACKUP - Your characters named Pluto gain Resist +1. (Damage dealt to them is reduced by 1.)
AZS-188,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
Think About What's Best: 2 {i} - Draw a card, then choose and discard a card."
AZS-189,NA
AZS-190,"I WRECK THINGS - Whenever this character quests, you may banish chosen item or location to gain 2 lore."
AZS-191,"Resist +1 (Damage dealt to this character is reduced by 1.)
Level Up: During your turn, whenever this character banishes another character in a challenge, gain 2 lore."
