Artist,Set_Name,Classifications,Date_Added,Keywords,Set_Num,Color,Franchise,Image,Cost,Inkable,Name,Type,Lore,Rarity,Flavor_Text,Unique_ID,Card_Num,Body_Text,Willpower,Date_Modified,Strength,Set_ID,Gamemode,Card_Variants,Move_Cost,StrengthPlusWillpower,keyword_NA,keyword_Support,keyword_Shift,keyword_Evasive,keyword_Challenger,keyword_Rush,keyword_Ward,keyword_Resist,keyword_Bodyguard,keyword_Singer,keyword_Reckless,Has_Keywords,Has_Bespoke,Basic_Cost,Keyword_Cost,Bespoke_Cost,is_meta,res
Amber Kommavongsa,Ursula's Return,"Storyborn, Hero, Princess",2024-05-17T12:00,,4,Steel,Mulan,https://lorcana-api.com/images/mulan/armoured_fighter/mulan-armoured_fighter-large.png,4,TRUE,Mulan - Armored Fighter,Character,1,Uncommon,"""Maybe what I really wanted was to prove I could do things right, so when I looked in a mirror, I'd see someone worthwhile.""",URS-189,189,NA,6,2024-08-29 16:27:12.0,3,URS,Lorcana,,NA,9,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.8496357383218447,0,0,FALSE,0.1503642616781554
Carlos Ruiz,Ursula's Return,"Dreamborn, Hero, Captain",2024-05-17T12:00,,4,Steel,Mulan,https://lorcana-api.com/images/li_shang/imperial_captian/li_shang-imperial_captian-large.png,5,TRUE,Li Shang - Imperial Captain,Character,2,Uncommon,Immovable as a mountain and fierce as a dragon- the Empire's finest warrior.,URS-182,182,NA,5,2024-08-29 16:27:12.0,5,URS,Lorcana,,NA,10,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,4.948882748479414,0,0,FALSE,0.05111725152058609
Alice Pisoni,Ursula's Return,"Storyborn, Titan",2024-05-17T12:00,,4,Steel,Hercules,https://lorcana-api.com/images/arges/the_cyclops/arges-the_cyclops-large.png,2,TRUE,Arges - The Cyclops,Character,1,Common,"""Looks like you got some big feelings there, buddy - let's stomp 'em out!""
 -Hades",URS-173,173,NA,3,2024-08-29 16:27:12.0,3,URS,Lorcana,,NA,6,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,2.4180987496861257,0,0,FALSE,-0.4180987496861257
Randy Bishop,Ursula's Return,"Storyborn, Hero",2024-05-17T12:00,,4,Steel,Aladdin,https://lorcana-api.com/images/aladdin/resolute_swordsman/aladdin-resolute_swordsman-large.png,1,TRUE,Aladdin - Resolute Swordsman,Character,1,Common,"""How about we cut to the part where I make a quick escape and you yell after me? No? Can't say I didn't give you a chance.""",URS-172,172,NA,3,2024-08-29 16:27:12.0,1,URS,Lorcana,,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.4637407572623133,0,0,FALSE,-0.46374075726231345
Oggy Christiansson,Ursula's Return,"Storyborn, Ally",2024-05-17T12:00,,4,Sapphire,Raya and the Last Dragon,https://lorcana-api.com/images/tuk_tuk/curious_partner/tuk_tuk-curious_partner-large.png,2,TRUE,Tuk Tuk - Curious Partner,Character,1,Common,"""Some say he's easily distracted. They're not wrong...""
 - Raya",URS-161,161,NA,3,2024-08-29 16:27:12.0,2,URS,Lorcana,,NA,5,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.9409197534742195,0,0,FALSE,0.059080246525780554
Roger P?rez / Hayley Evans,Ursula's Return,"Storyborn, Hero, Deity, Dragon",2024-05-17T12:00,,4,Sapphire,Raya and the Last Dragon,https://lorcana-api.com/images/sisu/wise_friend/sisu-wise_friend-large.png,6,TRUE,Sisu - Wise Friend,Character,2,Uncommon,"""It may feel impossible, but sometimes, you just have to take the first step, even before you're ready.""",URS-155,155,NA,6,2024-08-29 16:27:12.0,6,URS,Lorcana,,NA,12,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,5.903240740903227,0,0,FALSE,0.09675925909677316
Leonardo Giammichele,Ursula's Return,"Dreamborn, Villain, Alien, Pirate, Captain",2024-05-17T12:00,,4,Sapphire,Treasure Planet,https://lorcana-api.com/images/john_silver/terror_of_the_realm/john_silver-terror_of_the_realm-large.png,8,TRUE,John Silver - Terror of the Realm,Character,3,Rare,"""Strange things be at the edge of the map: sea witches, entangled glimmers, and whatnot. I'll stay with me ship, thank you.""",URS-148,148,NA,8,2024-08-29 16:27:12.0,8,URS,Lorcana,,NA,16,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,8.434024739696515,0,0,FALSE,-0.43402473969651506
Carlos Ruiz,Ursula's Return,"Storyborn, Villain, Deity",2024-05-17T12:00,,4,Sapphire,Hercules,https://lorcana-api.com/images/hades/meticulous_plotter/hades-meticulous_plotter-large.png,4,TRUE,Hades - Meticulous Plotter,Character,1,Uncommon,"""This neat little scheme has Ursula's tentacles all over it. That sneaky sea witch... Wait! I can use this. She can keep those obnoxious Illumineers busy while I roll out my own plan.""",URS-145,145,NA,6,2024-08-29 16:27:12.0,3,URS,Lorcana,,NA,9,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,3.8496357383218447,0,0,FALSE,0.1503642616781554
Sarah Schmidt,Ursula's Return,"Storyborn, Mentor",2024-05-17T12:00,,4,Sapphire,Mulan,https://lorcana-api.com/images/fa_li/mulan's_mother/fa_li-mulan's_mother-large.png,1,TRUE,Fa Li - Mulan's Mother,Character,1,Common,"When far from home, Mulan often thinks of her calming presence.",URS-143,143,NA,3,2024-08-29 16:27:12.0,1,URS,Lorcana,,NA,4,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,1.4637407572623133,0,0,FALSE,-0.46374075726231345
Justin Runfola,Ursula's Return,"Storyborn, Villain",2024-05-17T12:00,,4,Ruby,Hercules,https://lorcana-api.com/images/nessus/river_guardian/nessus-river_guardian-large.png,6,TRUE,Nessus - River guardian,Character,2,Uncommon,He sent the eels away when they came with the sea witch's offer. He didn't need her help making trouble.,URS-118,118,NA,5,2024-08-29 16:27:12.0,7,URS,Lorcana,,NA,12,1,0,0,0,0,0,0,0,0,0,0,FALSE,0,5.903240740903227,0,0,FALSE,0.09675925909677316
