id,archetype,quantity,image_src,set_code,card_number,lorcanaapi_set,Unique_ID
1,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,4,/img/cards/lorcana/ROTF/46-204-en-2_1468x2048.webp,ROTF,46,ROF,ROF-046
2,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,4,/img/cards/lorcana/ROTF/51-204-en-2_1468x2048.webp,ROTF,51,ROF,ROF-051
3,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,4,/img/cards/lorcana/ITI/90-204-en-3_1468x2048.webp,ITI,90,INK,INK-090
4,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,4,/img/cards/lorcana/ROTF/49-204-en-2_1468x2048.webp,ROTF,49,ROF,ROF-049
5,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,4,/img/cards/lorcana/ROTF/52-204-en-2_1468x2048.webp,ROTF,52,ROF,ROF-052
6,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,4,/img/cards/lorcana/TFC/64-204-en-1_1468x2048.webp,TFC,64,TFC,TFC-064
7,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,4,/img/cards/lorcana/ITI/70-204-en-3_1468x2048.webp,ITI,70,INK,INK-070
8,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,4,/img/cards/lorcana/ROTF/50-204-en-2_1468x2048.webp,ROTF,50,ROF,ROF-050
9,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,3,/img/cards/lorcana/ITI/77-204-en-3_1468x2048.webp,ITI,77,INK,INK-077
10,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/SHM/48-204-en-5_1468x2048.webp,SHM,48,SSK,SSK-048
11,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/ITI/36-204-en-3_1468x2048.webp,ITI,36,INK,INK-036
12,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/TFC/74-204-en-1_1468x2048.webp,TFC,74,TFC,TFC-074
13,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/ITI/67-204-en-3_1468x2048.webp,ITI,67,INK,INK-067
14,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/SHM/80-204-en-5_1468x2048.webp,SHM,80,SSK,SSK-080
15,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/ITI/91-204-en-3_1468x2048.webp,ITI,91,INK,INK-091
16,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/SHM/86-204-en-5_1468x2048.webp,SHM,86,SSK,SSK-086
17,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/URSU/58-204-en-4_1468x2048.webp,URSU,58,URS,URS-058
18,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/ITI/54-204-en-3_1468x2048.webp,ITI,54,INK,INK-054
19,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/SEA/53-204-en-6_1468x2048.webp,SEA,53,AZS,AZS-053
20,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/SEA/73-204-en-6_1468x2048.webp,SEA,73,AZS,AZS-073
21,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/TFC/95-204-en-1_1468x2048.webp,TFC,95,TFC,TFC-095
22,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,2,/img/cards/lorcana/SHM/84-204-en-5_1468x2048.webp,SHM,84,SSK,SSK-084
23,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,1,/img/cards/lorcana/SEA/49-204-en-6_1468x2048.webp,SEA,49,AZS,AZS-049
24,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,1,/img/cards/lorcana/URSU/84-204-en-4_1468x2048.webp,URSU,84,URS,URS-084
25,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,1,/img/cards/lorcana/ITI/78-204-en-3_1468x2048.webp,ITI,78,INK,INK-078
26,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,1,/img/cards/lorcana/SEA/40-204-en-6_1468x2048.webp,SEA,40,AZS,AZS-040
27,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,1,/img/cards/lorcana/ITI/86-204-en-3_1468x2048.webp,ITI,86,INK,INK-086
28,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,1,/img/cards/lorcana/TFC/49-204-en-1_1468x2048.webp,TFC,49,TFC,TFC-049
29,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,1,/img/cards/lorcana/SHM/96-204-en-5_1468x2048.webp,SHM,96,SSK,SSK-096
30,Lorcana Amethyst Emerald Bounce analysis _ inkDecks.com.html,1,/img/cards/lorcana/URSU/36-204-en-4_1468x2048.webp,URSU,36,URS,URS-036
31,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,4,/img/cards/lorcana/ROTF/169-204-en-2_1468x2048.webp,ROTF,169,ROF,ROF-169
32,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,4,/img/cards/lorcana/ROTF/149-204-en-2_1468x2048.webp,ROTF,149,ROF,ROF-149
33,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,4,/img/cards/lorcana/TFC/168-204-en-1_1468x2048.webp,TFC,168,TFC,TFC-168
34,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,4,/img/cards/lorcana/TFC/216-204-en-1_1468x2048.webp,TFC,193,TFC,TFC-193
35,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,4,/img/cards/lorcana/ROTF/142-204-en-2_1468x2048.webp,ROTF,142,ROF,ROF-142
36,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,4,/img/cards/lorcana/TFC/195-204-en-1_1468x2048.webp,TFC,195,TFC,TFC-195
37,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,4,/img/cards/lorcana/ITI/184-204-en-3_1468x2048.webp,ITI,184,INK,INK-184
38,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,3,/img/cards/lorcana/TFC/198-204-en-1_1468x2048.webp,TFC,198,TFC,TFC-198
39,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,3,/img/cards/lorcana/URSU/200-204-en-4_1468x2048.webp,URSU,200,URS,URS-200
40,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,3,/img/cards/lorcana/TFC/159-204-en-1_1468x2048.webp,TFC,159,TFC,TFC-159
41,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,2,/img/cards/lorcana/TFC/8-p1-en-1_1468x2048.webp,TFC,8,TFC,TFC-008
42,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,2,/img/cards/lorcana/TFC/2-c1-en-1_1468x2048.webp,TFC,2,TFC,TFC-002
43,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,2,/img/cards/lorcana/ROTF/173-204-en-2_1468x2048.webp,ROTF,173,ROF,ROF-173
44,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,2,/img/cards/lorcana/ITI/165-204-en-3_1468x2048.webp,ITI,165,INK,INK-165
45,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,2,/img/cards/lorcana/ITI/222-204-en-3_1468x2048.webp,ITI,195,INK,INK-195
46,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,2,/img/cards/lorcana/TFC/214-204-en-1_1468x2048.webp,TFC,142,TFC,TFC-142
47,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,2,/img/cards/lorcana/TFC/7-p1-en-1_1468x2048.webp,TFC,7,TFC,TFC-007
48,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/ITI/196-204-en-3_1468x2048.webp,ITI,196,INK,INK-196
49,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/URSU/139-204-en-4_1468x2048.webp,URSU,139,URS,URS-139
50,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/ITI/198-204-en-3_1468x2048.webp,ITI,198,INK,INK-198
51,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/TFC/161-204-en-1_1468x2048.webp,TFC,161,TFC,TFC-161
52,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/TFC/197-204-en-1_1468x2048.webp,TFC,197,TFC,TFC-197
53,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/TFC/147-204-en-1_1468x2048.webp,TFC,147,TFC,TFC-147
54,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/TFC/164-204-en-1_1468x2048.webp,TFC,164,TFC,TFC-164
55,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/ROTF/147-204-en-2_1468x2048.webp,ROTF,147,ROF,ROF-147
56,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/TFC/200-204-en-1_1468x2048.webp,TFC,200,TFC,TFC-200
57,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/ITI/169-204-en-3_1468x2048.webp,ITI,169,INK,INK-169
58,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/SHM/195-204-en-5_1468x2048.webp,SHM,195,SSK,SSK-195
59,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/TFC/172-204-en-1_1468x2048.webp,TFC,172,TFC,TFC-172
60,Lorcana Sapphire Steel Items analysis _ inkDecks.com.html,1,/img/cards/lorcana/ROTF/174-204-en-2_1468x2048.webp,ROTF,174,ROF,ROF-174
61,Lorcana Amber Steel Dwarf's Mine analysis _ inkDecks.com.html,4,/img/cards/lorcana/ROTF/3-204-en-2_1468x2048.webp,ROTF,3,ROF,ROF-003
62,Lorcana Amber Steel Dwarf's Mine analysis _ inkDecks.com.html,4,/img/cards/lorcana/ITI/184-204-en-3_1468x2048.webp,ITI,184,INK,INK-184
63,Lorcana Amber Steel Dwarf's Mine analysis _ inkDecks.com.html,4,/img/cards/lorcana/SHM/195-204-en-5_1468x2048.webp,SHM,195,SSK,SSK-195
